test_id,variant,channels,amp,latency_cycles,coverage,wrong_channel_frac,fa_pre,n_pre,fa_post,n_post,cleared,cycles_inj,onnx_parity,off_latency_cycles,off_coverage,off_fa_pre,off_fa_post,off_cleared,common_cycles,sim_vs_off_diff
E-BAT-01b,CRPR,Ibat,5.0,2.0,1.0,0.0,0,4,0,12,True,14,0.5552978515625,2.0,1.0,0,0,True,35,0
E-BAT-01b,MPCC_P,Ibat,5.0,2.0,1.0,0.0,0,4,2,12,False,14,0.72265625,2.0,1.0,0,2,False,35,0
E-BAT-01b,MPCC_D,Ibat,5.0,2.0,1.0,0.0,0,4,0,12,True,14,0.8729248046874503,2.0,1.0,0,0,True,35,0
E-BAT-01b,MPCC_D_F1,Ibat,5.0,2.0,1.0,0.0,0,4,0,12,True,14,0.7814331054687003,2.0,1.0,0,0,True,35,0
E-BAT-01b,MPCC_D_F10,Ibat,5.0,2.0,1.0,0.0,0,4,0,12,True,14,0.8248901367187997,2.0,1.0,0,0,True,35,0
E-BAT-01b,MPCC_D_R,Ibat,5.0,2.0,1.0,0.0,0,4,0,12,True,14,0.6698608398437997,2.0,1.0,0,0,True,35,0
E-BAT-01b,MPCC_D_M1,Ibat,5.0,2.0,1.0,0.0,0,4,0,12,True,14,0.8338623046875497,2.0,1.0,0,0,True,35,0
E-BAT-01b,MPCC_D_H1,Ibat,5.0,2.0,1.0,0.0,0,4,0,12,True,14,0.80133056640625,2.0,1.0,0,0,True,35,0
E-BAT-02b,CRPR,Vbat,10.0,2.0,1.0,0.0,0,4,0,12,True,14,0.9862060546875,2.0,1.0,0,0,True,35,0
E-BAT-02b,MPCC_P,Vbat,10.0,4.0,0.8571428571428571,0.6428571428571429,0,4,0,12,True,14,1.0196533203125497,4.0,0.8571428571428571,0,0,True,35,2
E-BAT-02b,MPCC_D,Vbat,10.0,2.0,1.0,0.07142857142857142,0,4,0,12,True,14,1.0416259765625,2.0,1.0,0,0,True,35,0
E-BAT-02b,MPCC_D_F1,Vbat,10.0,2.0,1.0,0.07142857142857142,0,4,0,12,True,14,1.034423828125,2.0,1.0,0,0,True,35,1
E-BAT-02b,MPCC_D_F10,Vbat,10.0,2.0,1.0,0.07142857142857142,0,4,0,12,True,14,0.9931640624999503,2.0,1.0,0,0,True,35,1
E-BAT-02b,MPCC_D_R,Vbat,10.0,2.0,1.0,0.0,0,4,0,12,True,14,0.95635986328125,2.0,1.0,0,0,True,35,1
E-BAT-02b,MPCC_D_M1,Vbat,10.0,2.0,1.0,0.07142857142857142,0,4,0,12,True,14,0.9635620117187997,2.0,1.0,0,0,True,35,0
